D;SECTION D TEXTILESPAPER
D03C0001160000;Arrangements of dobby in relation to loom
D03C0001180000;Knives. Knife frames
D03C0001200000;Hooks. Lifters
D03C0001220000;Needles. Needle boxes. Needle boards
D03C0001240000;Cylinders. Cylinder battens
D03C0001260000;Facilitating engagement of lifting-hooks with draw-knives
D03C0001280000;by creating and then eliminating back-lash between hooks and knives
D03C0001300000;wherein all the hooks are disengaged from the knives, and selected hooks then re-engaged
D03C0001320000;wherein all the hooks are engaged with the knives, and unselected hooks then disengaged
D03C0001340000;Arrangements wherein warp threads pass one another at different heights to avoid congestion
D03C0001360000;Card- or chain-saving arrangements, e.g. cross-border dobbies
D03C0003000000;Jacquards (controlling jacquard by scanning design D03C0017060000. for gripper Axminster looms D03D0039080000)
D03C0003020000;Single-lift jacquards
D03C0003040000;of open-shed type
D03C0003060000;Double-lift jacquards
D03C0003080000;of open-shed type
D03C0003100000;Centre-shed jacquards
D03C0003120000;Multiple-shed jacquards, i.e. jacquards which move warp threads to several different heights, e.g. for weaving pile fabrics
D03C0003140000;Jacquards not employing lifting-hooks, e.g. employing knotted cords in conjunction with keyhole slots
D03C0003160000;Verdol or other jacquards having intermediate power-operated needles between reading needles and lifting-hooks
D03C0003180000;Selvedge jacquards
D03C0003200000;Electrically-operated jacquards
D03C0003220000;Fluid-operated jacquards
D03C0003240000;Features common to jacquards of different types
D03C0003260000;General arrangements of jacquards, or disposition in relation to loom
D03C0003280000;Pick-finding arrangements. Arrangements for preventing next shed from being opened during stopping of loom
D03C0003300000;Arrangements wherein hooks are positively operated to close shed
D03C0003320000;Jacquard driving mechanisms
D03C0003340000;Cylinder operating mechanisms
D03C0003360000;Griffe operating mechanisms
D03C0003380000;Comber boards
D03C0003400000;Constructions of lifting-cords
D03C0003420000;Arrangements of lifting-cords
D03C0003440000;Lingoes
D03C0005000000;Cam or other direct-acting shedding mechanisms, i.e. operating heald frames without intervening power-supplying devices
D03C0005020000;operated by rotating cams
D03C0005040000;Construction or shape of cams (cams in general F16H0053000000)
D03C0005060000;operated by cam devices other than rotating cams
D03C0007000000;Leno or similar shedding mechanisms
D03C0007020000;Gauze healds
D03C0007040000;Mechanisms having discs oscillating about a weftwise axis and having apertures for warp threads
D03C0007060000;Mechanisms having eyed needles for moving warp threads from side to side of other warp threads
D03C0007080000;Devices for twisting warp threads repeatedly in the same direction
D03C0009000000;Healds. Heald frames (for leno shedding D03C0007000000)
D03C0009020000;Healds
D03C0009040000;Metal healds
D03C0009060000;Heald frames
D03C0011000000;Selvedge shedding mechanisms not forming part of main shedding mechanism (selvedge jacquards D03C0003180000. leno selvedge mechanism D03C0007000000)
D03C0013000000;Shedding mechanisms not otherwise provided for
D03C0015000000;Pattern cards or chains
D03C0015020000;Chains of metal, wood, or similar material with projecting pattern-indicating elements
D03C0015040000;Cards or paper perforated to indicate pattern
D03C0015060000;Apparatus for setting pegs in, or removing pegs from, pattern cards
D03C0015080000;Apparatus for interconnecting, e.g. by lacing, or disconnecting pattern cards
D03C0017000000;Card-punching apparatus (marking record carriers in digital fashion G06K)
D03C0017020000;manually-controlled, i.e. holes to be punched determined by the operator
D03C0017040000;power-operated
D03C0017060000;automatic, i.e. design scanned optically or otherwise to control punching apparatus or to control loom jacquard directly
D03C0019000000;Methods or devices concerned with designing or making patterns, not provided for in other groups of this subclass
D03D;WOVEN FABRICS. METHODS OF WEAVING. LOOMS
D03D0001000000;Woven fabrics. Methods of weaving other than those characterised by the operation of a particular loom
D03D0001000000;Woven fabrics designed to make specified articles
D03D0001020000;Inflatable articles
D03D0001040000;Sack- or bag-like articles
D03D0001060000;Curtain heading tapes
D03D0001080000;Ladder tapes (ladder tapes for venetian blinds E06B0009382000)
D03D0003000000;Woven fabrics characterised by their shape
D03D0003020000;Tubular fabrics
D03D0003040000;Endless fabrics
D03D0003060000;Fabrics of varying width
D03D0003080000;Arched, corrugated, or like fabrics
D03D0005000000;Selvedges
D03D0007000000;Woven fabrics designed to be resilient, i.e. to recover from compressive stress
D03D0009000000;Open-work fabrics (ladder-tape fabrics D03D0001080000)
D03D0011000000;Double or multi-ply fabrics not otherwise provided for
D03D0011020000;Fabrics formed with pockets, tubes, loops, folds, tucks, or flaps (fabrics for curtain heading tapes D03D0001060000. fabrics consisting of a single tube D03D0003020000)
D03D0013000000;Woven fabrics characterised by the special disposition of the warp or weft threads, e.g. with curved weft threads, with discontinuous warp threads, with diagonal warp or weft
D03D0015000000;Woven fabrics characterised by the material or construction of the yarn or other warp or weft elements used
D03D0015020000;the warp or weft elements being of stiff material, e.g. wire, cane, slat
D03D0015040000;woven to produce shapes or effects upon differential shrinkage
D03D0015060000;using scaffolding threads, i.e. threads removed after weaving
D03D0015080000;using stretchable or elastic threads (woven fabrics whose elastic or stretch properties are due to the manner of weaving D03D0017000000)
D03D0015100000;using threads having high or low coefficients of friction
D03D0015120000;using heat-resistant or fireproof threads
D03D0017000000;Woven fabrics having elastic or stretch properties due to manner of weaving (fabrics using stretchable or elastic threads D03D0015080000)
D03D0019000000;Gauze or leno-woven fabrics
D03D0021000000;Lappet- or swivel-woven fabrics
D03D0023000000;General weaving methods not special to the production of any particular woven fabric or the use of any particular loom. Weaves not provided for in any other single group
D03D0025000000;Woven fabrics not otherwise provided for
D03D0027000000;Woven pile fabrics
D03D0027020000;wherein the pile is formed by warp or weft
D03D0027040000;Weft pile fabrics
D03D0027060000;Warp pile fabrics
D03D0027080000;Terry fabrics
D03D0027100000;Fabrics woven face-to-face, e.g. double velvet
D03D0027120000;wherein pile tufts are inserted during weaving
D03D0027140000;with tufts around warps
D03D0027160000;with tufts around wefts
D03D0027180000;Chenille fabrics
D03D0029000000;Looms. Methods of weaving characterised by the operation of particular looms
D03D0029000000;Hand looms
D03D0031000000;Lappet, swivel or other looms for forming embroidery-like decoration on fabrics
D03D0033000000;Multiple looms, i.e. two or more looms assembled together, whether or not they have mechanisms in common (D03D0035000000 takes precedence)..
D03D0035000000;Smallware looms, i.e. looms for weaving ribbons or other narrow fabrics (D03D0047000000 takes precedence)..
D03D0037000000;Circular looms (looms for weaving separate fabrics disposed in a circle or polygon D03D0033000000)
D03D0039000000;Pile-fabric looms
D03D0039020000;Axminster looms, i.e. wherein pile tufts are inserted during weaving
D03D0039040000;Spool Axminster looms
D03D0039060000;Tuft yarn tube or spool frames
D03D0039080000;Gripper Axminster looms
D03D0039100000;Wire-tapestry looms, e.g. for weaving velvet or Brussels or Wilton carpets, the pile being formed over weftwise wires
D03D0039120000;Mechanisms for operating the pile wires
D03D0039140000;Construction of the pile wires, e.g. pile wires which cut
D03D0039160000;Double-plush looms, i.e. for weaving two pile fabrics face-to-face
D03D0039180000;Separating the two plush layers, e.g. by cutting
D03D0039200000;Looms forming pile over warpwise wires
D03D0039220000;Terry looms
D03D0039240000;Devices for cutting the pile on the loom (pile wires which cut D03D0039140000. separating two plush layers D03D0039180000)
D03D0041000000;Looms not otherwise provided for, e.g. for weaving chenille yarn. Details peculiar to these looms
D03D0043000000;Looms with change-boxes
D03D0043020000;with drop boxes
D03D0043040000;Operating mechanisms
D03D0043060000;with rotary boxes
D03D0043080000;Operating mechanisms
D03D0043100000;Weft catchers, i.e. means for preventing entanglement of wefts
D03D0045000000;Looms with automatic weft replenishment (automatic replenishment in smallware looms D03D0035000000, in circular looms D03D0037000000. bobbins rewound on loom D03J0001120000)
D03D0045020000;Controlling replenishment
D03D0045040000;Pirn feelers or other detectors for initiating replenishment (weft stop motions D03D0051340000)
D03D0045060000;mechanical
D03D0045080000;of the side-slip type
D03D0045100000;electrical
D03D0045120000;optical
D03D0045140000;Storing the need for replenishment or the colour required until the spent shuttle returns to the replenishing end of the loom
D03D0045160000;selecting thereby weft of correct colour
D03D0045180000;Shuttle feelers or other devices for preventing replenishment if shuttle is incorrectly positioned in shuttle box (shuttle stop motions D03D0051400000)
D03D0045200000;Changing bobbins, cops, or other shuttle stock
D03D0045220000;effected with shuttle in normal shuttle box
D03D0045240000;effected otherwise than in normal box
D03D0045260000;Magazines
D03D0045280000;for one type of thread, e.g. same colour
D03D0045300000;rotary
D03D0045320000;for several types of thread, e.g. multicolour
D03D0045340000;Shuttle changing
D03D0045360000;fresh shuttle being substituted for spent shuttle in the same cell of shuttle box
D03D0045380000;Shuttle box with an extra cell which is used only during replenishment
D03D0045400000;the spent shuttle being received in the normal cell and the fresh shuttle being picked from the extra cell
D03D0045420000;the spent shuttle being received in the extra cell and the fresh shuttle being picked from the normal cell
D03D0045440000;Magazines
D03D0045460000;for one type of thread, e.g. single colour
D03D0045480000;for several types of threads, e.g. multicolour
D03D0045500000;Cutting, holding, manipulating, or disposing of, weft ends
D03D0045520000;Cutting weft of depleted shuttle near shuttle and holding the piece attached to the fabric
D03D0045540000;Cutting fresh weft and holding the piece attached to the fabric
D03D0045560000;Cutting depleted and fresh wefts at selvedge
D03D0045580000;Removing tip bunch or fresh weft end from fresh bobbin
D03D0045600000;substantially by air stream or suction
D03D0045620000;Disposing of waste pieces of cut weft end (D03D0045580000 takes precedence)..
D03D0047000000;Looms in which bulk supply of weft does not pass through shed, e.g. shuttleless looms, gripper shuttle looms, dummy shuttle looms (circular looms D03D0037000000)
D03D0047020000;wherein loops of continuous weft thread are inserted, i.e. double picks (D03D0047270000 takes precedence)..
D03D0047040000;by a reciprocating needle having a permanently-threaded eye
D03D0047060000;by a pivoted having a permanently-threaded eye
D03D0047080000;the path of the needle being modified by cams, linkages, or other means
D03D0047100000;by a forked needle pushing loop of weft through shed
D03D0047120000;wherein single picks of weft thread are inserted, i.e. with shedding between each pick (D03D0047270000 takes precedence)..
D03D0047140000;by a gripper needle taking the end of the weft through the shed
D03D0047160000;by a gripper needle entering the shed empty and drawing the weft as it retracts
D03D0047180000;two weft inserters meeting at or near the middle of the shed and transferring the weft from one to the other
D03D0047200000;Constructional features of the thread-engaging device on the inserters
D03D0047220000;adapted for working a loop of weft part-way inserted in the shed and then straightened-out
D03D0047230000;Thread grippers (in dummy or gripper shuttles D03J0005060000)
D03D0047240000;by gripper or dummy shuttle (travelling-wave-shed looms D03D0047260000. inserting mechanisms for shuttles D03D0049240000. gripper or dummy shuttles per seD03J0005060000)
D03D0047250000;inserted from only one side of loom
D03D0047260000;Travelling-wave-shed looms
D03D0047270000;Drive or guide mechanisms for weft inserting
D03D0047280000;wherein the weft itself is projected into the shed
D03D0047300000;by gas jet
D03D0047320000;by liquid jet
D03D0047340000;Handling the weft between bulk storage and weft-inserting means
D03D0047360000;Measuring and cutting the weft
D03D0047380000;Weft pattern mechanisms
D03D0047390000;wherein cane, straw, slats, material for hair-cloth or similar material is handled
D03D0047400000;Forming selvedges
D03D0047420000;by knitting or interlacing loops of weft
D03D0047440000;with additional selvedge thread
D03D0047460000;by selvedge shuttle or other device passing selvedge thread through loop of weft (by knitting D03D0047440000)
D03D0047480000;by inserting cut end of weft in next shed, e.g. by tucking, by blowing
D03D0047500000;by adhesion
D03D0049000000;Details or constructional features not peculiar to looms of a particular type (temples D03J0001220000)
D03D0049020000;Construction of loom framework
D03D0049040000;Control of the tension in warp or cloth
D03D0049060000;Warp let-off mechanisms (construction of warp beam D02H)
D03D0049080000;Warp beam brakes
D03D0049100000;Driving the warp beam to let the warp off
D03D0049120000;Controlling warp tension by means other than let-off mechanisms
D03D0049140000;Compensating for tension differences during shedding
D03D0049160000;Warp supplied by creel
D03D0049180000;Devices for indicating warp tension (measuring tension of threads in general G01L0005040000)
D03D0049200000;Take-up motions. Cloth beams (storage racks for beams D02H)
D03D0049220000;Back rests. Lease rods. Brest beams
D03D0049240000;Mechanisms for inserting shuttle in shed (shuttles per seD03J0005000000)
D03D0049260000;Picking mechanisms, e.g. for propelling gripper shuttles or dummy shuttles
D03D0049280000;Driving mechanisms for the picker stick
D03D0049300000;operated by cam
D03D0049320000;operated by previously-loaded spring or equivalent
D03D0049340000;operated by liquid or gas pressure
D03D0049360000;Pickers. Arresting means therefor (check straps D03D0049400000)
D03D0049380000;Picking sticks. Arresting means therefor (check straps D03D0049400000)
D03D0049400000;Check straps. Lug straps. Similar strap components
D03D0049420000;whereby the shuttle is propelled by liquid or gas pressure
D03D0049440000;whereby the shuttle is propelled by electric or magnetic means
D03D0049460000;wherein the shuttle is pushed or pulled positively (travelling-wave-shed type looms D03D0047260000)
D03D0049480000;positioning shuttle in readiness for picking
D03D0049500000;Devices or arrangements concerning insertion of the weft, not otherwise provided for
D03D0049520000;Shuttle boxes (change-boxes D03D0043000000)
D03D0049540000;Braking means. Swells
D03D0049560000;Shuttle relief mechanisms, i.e. reducing shuttle swell pressure before picking
D03D0049580000;Shuttle guards
D03D0049600000;Construction or operation of slay
D03D0049620000;Reeds mounted on slay
D03D0049640000;wherein the slay dwells or moves slowly while the weft is being inserted
D03D0049660000;Shuttle races
D03D0049680000;Reeds or beat-up combs not mounted on the slay (loose reed stop motion D03D0051420000)
D03D0049700000;Devices for cutting weft threads (cutting weft in looms with automatic weft replenishment D03D0045500000. apparatus for slitting fabric D03J0001080000)
D03D0051000000;Driving, starting, or stopping arrangements. Automatic stop motions
D03D0051020000;General arrangements of driving mechanism
D03D0051040000;Manual controls
D03D0051060000;using particular methods of stopping
D03D0051080000;stopping at definite point in weaving cycle, or moving to such point after stopping
D03D0051100000;stopping suddenly
D03D0051120000;for adjusting speed
D03D0051140000;for reducing speed temporarily
D03D0051160000;for varying speed cyclically
D03D0051180000;Automatic stop motions
D03D0051200000;Warp stop motions
D03D0051220000;mechanical
D03D0051240000;wherein droppers are suspended on individual warp threads or small groups of threads
D03D0051260000;Detector healds
D03D0051280000;electrical
D03D0051300000;wherein droppers are suspended on individual warp threads or small groups of threads
D03D0051320000;Detector healds
D03D0051340000;Weft stop motions
D03D0051360000;Centre weft forks
D03D0051380000;Side weft forks
D03D0051400000;Shuttle stop motions
D03D0051420000;Loose reed mechanisms
D03D0051440000;acting on defective operation of loom mechanisms
D03D0051460000;of shedding mechanisms
D03J;AUXILIARY WEAVING APPARATUS. WEAVERS' TOOLS. SHUTTLES
D03J0001000000;Auxiliary apparatus combined with or associated with looms
D03J0001020000;for treating warp, e.g. cleaning, moistening
D03J0001040000;for treating weft
D03J0001060000;for treating fabric (cutting pile on the loom D03D0039240000)
D03J0001080000;for slitting fabric
D03J0001100000;for indicating pattern to weaver
D03J0001120000;transferring bobbins between loom and winding station (bobbin-winding machines B65H)
D03J0001130000;for leasing warp (leasing in general D02H0009000000)
D03J0001140000;Apparatus for threading warp stop-motion droppers, healds, or reeds
D03J0001160000;Apparatus for joining warp ends (knot-tying tools D03J0003000000)
D03J0001180000;for joining, e.g. tying, a complete series of fresh warp threads to the used warp threads
D03J0001200000;Measuring length of fabric or number of picks woven
D03J0001220000;Temples
D03J0001240000;Mirrors or other arrangements for inspecting loom parts
D03J0003000000;Weavers' tools, e.g. knot-tying tools
D03J0003020000;Reed and heald hooks
D03J0003040000;Shuttle-threading tools (threading devices in shuttles D03J0005200000)
D03J0005000000;Shuttles (swivel shuttles D03D0031000000. shuttles for smallware looms D03D0035000000. circular loom shuttles D03D0037000000. selvedge shuttles D03D0047460000)
D03J0005020000;Construction of shuttle body
D03J0005040000;Shuttle tips
D03J0005060000;Dummy shuttles. Gripper shuttles
D03J0005080000;Supports for pirns, bobbins, or cops
D03J0005100000;Pegs or spindles
D03J0005120000;removable
D03J0005140000;pivoted
D03J0005160000;Bobbin clamps, e.g. for automatic bobbin-changing loom shuttles
D03J0005180000;for coreless cops, i.e. shuttles having no peg or bobbin clamp
D03J0005200000;Devices in shuttles for threading (separate tools for threading shuttles D03J0003040000)
D03J0005220000;for self-threading, i.e. threading automatically when shuttle is picked
D03J0005240000;Tension devices
D04;BRAIDING. LACE-MAKING. KNITTING. TRIMMINGS. NON-WOVEN FABRICS
D04B;KNITTING
D04B0001000000;Weft knitting. Machines therefor
D04B0001000000;Weft knitting processes for the production of fabrics or articles not dependent on the use of particular machines. Fabrics or articles defined by such processes
D04B0001020000;Pile fabrics or articles having similar surface features
D04B0001040000;characterised by thread material
D04B0001060000;Non-run fabrics or articles
D04B0001080000;characterised by thread material
D04B0001100000;Patterned fabrics or articles
D04B0001120000;characterised by thread material
D04B0001140000;Other fabrics or articles characterised primarily by the use of particular thread materials
D04B0001160000;synthetic threads
D04B0001180000;elastic threads
D04B0001200000;crimped threads
D04B0001220000;specially adapted for knitting goods of particular configuration
D04B0001240000;wearing apparel
D04B0001260000;stockings
D04B0001280000;gloves
D04B0003000000;Hand tools or implements for weft knitting
D04B0003020000;Needles
D04B0003040000;Finger protectors. Thread tensioners
D04B0003060000;Ball holders or receptacles
D04B0005000000;Weft knitting apparatus or machines without needles for domestic use (with needles D04B0007080000)
D04B0007000000;Flat-bed knitting machines with independently-movable needles (straight-bar machines with fixed needles D04B0011000000)
D04B0007020000;with one set of needles
D04B0007040000;with two sets of needles
D04B0007060000;for purl work or Links-Links loop formation
D04B0007080000;for domestic use
D04B0007100000;with provision for narrowing or widening to produce fully-fashioned goods
D04B0007120000;with provision for incorporating pile threads
D04B0007140000;with provision for incorporating internal threads in laid-in fabrics
D04B0007160000;for producing fabrics consisting of, or incorporating, elastic threads
D04B0007180000;incorporated as weft or inlaid threads
D04B0007200000;with provision for changing the fabric construction, e.g. from plain to rib-loop fabric
D04B0007220000;with special provision for commencing goods, e.g. with non-run edges
D04B0007240000;for producing patterned fabrics
D04B0007260000;with colour patterns
D04B0007280000;with stitch patterns
D04B0007300000;specially adapted for knitting goods of particular configuration
D04B0007320000;tubular goods
D04B0007340000;gloves
D04B0009000000;Circular weft knitting machines with independently-movable needles(with fixed spring or bearded needles D04B0013000000)
D04B0009020000;with one set of needles
D04B0009040000;with spring or bearded needles
D04B0009060000;with needle cylinder and dial for ribbed goods
D04B0009080000;for interlock goods
D04B0009100000;with two needle cylinders for purl work or for Links-Links loop formation
D04B0009120000;with provision for incorporating pile threads
D04B0009140000;with provision for incorporating loose fibres, e.g. in high-pile fabrics
D04B0009160000;with provision for incorporating internal threads in laid-in fabrics
D04B0009180000;with provision for splicing by incorporating reinforcing threads
D04B0009200000;with provision for narrowing or widening. with reciprocatory action, e.g. for knitting of flat portions
D04B0009220000;with provision for changing the fabric construction, e.g. from plain to rib-loop fabric
D04B0009240000;with special provision for commencing goods, e.g. with non-run edges
D04B0009260000;for producing patterned fabrics
D04B0009280000;with colour patterns
D04B0009300000;by striping
D04B0009320000;by wrap striping
D04B0009340000;by plating
D04B0009360000;Intarsia work obtained by reciprocatory action
D04B0009380000;with stitch patterns
D04B0009400000;with provision for transfer of knitted goods from one machine to another
D04B0009420000;specially adapted for producing goods of particular configuration
D04B0009440000;elongated tubular articles of small diameter, e.g. coverings for cables (sheathing electric cables H01B0013220000)
D04B0009460000;stockings, or portions thereof
D04B0009480000;non-run stockings
D04B0009500000;micromesh stockings
D04B0009520000;surgical stockings
D04B0009540000;welts, e.g. double or turned welts
D04B0009560000;heel or toe portions
D04B0009580000;gloves
D04B0011000000;Straight-bar knitting machines with fixed needles (flat-bed machines with independently-movable needles D04B0007000000)
D04B0011020000;with one set of needles
D04B0011040000;with two sets of needles
D04B0011060000;with provision for narrowing or widening to produce fully-fashioned goods
D04B0011080000;with provision for incorporating pile threads
D04B0011100000;with provision for incorporating internal threads in laid-in fabrics
D04B0011120000;for producing fabrics from, or incorporating, elastic threads
D04B0011140000;with provision for changing the fabric construction, e.g. from plain to rib-loop fabric
D04B0011160000;with special provision for commencing goods, e.g. with non-run edges
D04B0011180000;for producing patterned fabrics
D04B0011200000;with colour patterns
D04B0011220000;with stitch patterns
D04B0011240000;with provision for transfer of knitted goods from one machine to another
D04B0011260000;specially adapted for producing goods of particular configuration
D04B0011280000;stockings, or portions thereof
D04B0011300000;non-run stockings
D04B0011320000;welts, e.g. double or turned welts
D04B0011340000;heel or toe portions
D04B0011360000;other wearing apparel
D04B0013000000;Circular weft knitting machines with fixed spring or bearded needles, e.g. loop-wheel machines (with independently-movable needles D04B0009000000)
D04B0013020000;with horizontal needles
D04B0015000000;Details of, or auxiliary devices incorporated in, weft knitting machines, restricted to machines of this kind (details or auxiliary devices not so restricted D04B0035000000)
D04B0015020000;Loop-transfer points
D04B0015040000;for straight-bar knitting machines
D04B0015060000;Sinkers
D04B0015080000;Needle latch openers. Brushes
D04B0015100000;Needle beds
D04B0015120000;Shogging devices therefor
D04B0015140000;Needle cylinders
D04B0015160000;Driving devices for reciprocatory action
D04B0015180000;Dials
D04B0015200000;Needle bars
D04B0015220000;Driving devices therefor
D04B0015240000;Sinker heads. Sinker bars
D04B0015260000;Slurcocks
D04B0015280000;Needle pressers
D04B0015300000;Driving devices for thread-carrier rods
D04B0015320000;Cam systems or assemblies for operating knitting instruments
D04B0015340000;for dials
D04B0015360000;for flat-bed knitting machines
D04B0015380000;Devices for supplying, feeding, or guiding threads to needles
D04B0015400000;Holders or supports for thread packages
D04B0015420000;Frames for assemblies of two or more reels
D04B0015440000;Tensioning devices for individual threads
D04B0015460000;for elastic threads
D04B0015480000;Thread-feeding devices
D04B0015500000;for elastic threads
D04B0015520000;for straight-bar knitting machines
D04B0015540000;Thread guides
D04B0015560000;for flat-bed knitting machines
D04B0015580000;for circular knitting machines. Thread-changing devices
D04B0015600000;with thread-clamping or -severing devices
D04B0015610000;arranged within needle circle
D04B0015620000;with thread knotters
D04B0015640000;for straight-bar knitting machines
D04B0015660000;Devices for determining or controlling patterns
D04B0015680000;characterised by the knitting instruments used
D04B0015700000;in flat-bed knitting machines
D04B0015720000;in straight-bar knitting machines
D04B0015740000;Pattern drums
D04B0015760000;Pattern wheels
D04B0015780000;Electrical devices
D04B0015800000;characterised by the thread guides used
D04B0015820000;characterised by the needle cams used
D04B0015840000;Jacquard cards or mechanisms (stamping apparatus therefor D03C)
D04B0015860000;in flat-bed knitting machines
D04B0015880000;Take-up or draw-off devices for knitting products
D04B0015900000;for flat-bed knitting machines
D04B0015920000;pneumatic
D04B0015940000;Driving-gear not otherwise provided for
D04B0015960000;in flat-bed knitting machines
D04B0015980000;in straight-bar knitting machines
D04B0015990000;electrically controlled
D04B0017000000;Repairing or unravelling knitted fabrics
D04B0017000000;Repairing knitted fabrics by knitting operations
D04B0017020000;by darning
D04B0017040000;by picking-up dropped stitches
D04B0019000000;Unravelling knitted fabrics
D04B0021000000;Warp knitting. Machines therefor
D04B0021000000;Warp knitting processes for the production of fabrics or articles not dependent on the use of particular machines. Fabrics or articles defined by such processes
D04B0021020000;Pile fabrics or articles having similar surface features
D04B0021040000;characterised by thread material
D04B0021060000;Patterned fabrics or articles (open-work fabrics D04B0021100000)
D04B0021080000;characterised by thread material
D04B0021100000;Open-work fabrics
D04B0021120000;characterised by thread material
D04B0021140000;Fabrics characterised by the incorporation by knitting, in one or more thread, fleece, or fabric layers, of reinforcing, binding, or decorative threads. Fabrics incorporating small auxiliary elements, e.g. for decorative purposes (pile fabrics D04B0021020000. non-woven fabrics in general D04H)
D04B0021160000;incorporating synthetic threads
D04B0021180000;incorporating elastic threads
D04B0021200000;specially adapted for knitting articles of particular configuration
D04B0023000000;Flat warp knitting machines
D04B0023020000;with two sets of needles
D04B0023040000;with independently-movable knitting needles
D04B0023060000;for producing fabrics consisting of, or incorporating, elastic threads
D04B0023080000;with provision for incorporating pile threads
D04B0023100000;for knitting through thread, fleece, or fabric layers, or around elongated core material
D04B0023120000;with provision for incorporating unlooped wefts extending from selvedge to selvedge
D04B0023140000;with provision for incorporating small auxiliary elements, e.g. for decorative purposes
D04B0023160000;specially adapted for producing fabrics, or article blanks, of particular form or configuration
D04B0023180000;with provision for narrowing or widening
D04B0023200000;for producing stocking blanks
D04B0023220000;with special thread-guiding means
D04B0023240000;with cut needle presser arrangements to produce patterns
D04B0025000000;Warp knitting machines not otherwise provided for
D04B0025020000;Tubular machines
D04B0025040000;Milanese machines
D04B0025060000;Galloon crocheting machines
D04B0025080000;for producing pile fabrics
D04B0025100000;for producing patterned fabrics
D04B0025120000;with independently-movable weft-thread guides controlled by Jacquard mechanisms
D04B0025140000;specially adapted for producing articles of particular configuration
D04B0027000000;Details of, or auxiliary devices incorporated in, warp knitting machines, restricted to machines of this kind (details or auxiliary devices not so restricted D04B0035000000)
D04B0027020000;Warp-thread guides
D04B0027040000;Sinkers
D04B0027060000;Needle bars. Sinker bars
D04B0027080000;Driving devices therefor
D04B0027100000;Devices for supplying, feeding, or guiding threads to needles
D04B0027120000;Tensioning devices for individual threads
D04B0027140000;Thread tensioning rod arrangements
D04B0027160000;Warp beams. Bearings therefor
D04B0027180000;Warp beam braking devices for thread tensioning
D04B0027200000;Warp beam driving devices
D04B0027220000;electrically controlled
D04B0027240000;Thread guide bar assemblies
D04B0027260000;Shogging devices therefor
D04B0027280000;with arrangements to reduce the number of members of pattern chains
D04B0027300000;with driving-gear comprising force-multiplication devices
D04B0027320000;with independently-movable thread guides controlled by Jacquard mechanisms
D04B0027340000;Take-up or draw-off devices for knitted products
D04B0027360000;with temples
D04B0031000000;Crocheting. Apparatus therefor
D04B0031000000;Crocheting processes for the production of fabrics or articles
D04B0031020000;Crocheted strips or threads
D04B0033000000;Crocheting tools or apparatus (galloon crocheting machines for warp knitting D04B0025060000)
D04B0035000000;Details of, or auxiliary devices incorporated in, knitting machines, not otherwise provided for
D04B0035020000;Knitting tools or instruments not provided for in group  D04B0015000000.  or D04B0027000000. (needle manufacture B21G0001000000)
D04B0035040000;Latch needles
D04B0035060000;Sliding-tongue needles
D04B0035080000;Spring or bearded needles
D04B0035100000;Indicating, warning, or safety devices, e.g. stop motions
D04B0035120000;responsive to thread consumption
D04B0035140000;responsive to thread breakage
D04B0035160000;with detectors associated with a series of threads
D04B0035180000;responsive to breakage, misplacement, or malfunctioning of knitting instruments
D04B0035200000;responsive to defects, e.g. holes in knitted products
D04B0035220000;Devices for preparatory treatment of threads
D04B0035240000;by moistening or lubricating
D04B0035260000;by heating
D04B0035280000;Devices for lubricating machine parts (in general F16N)
D04B0035300000;Devices for controlling temperature of machine parts
D04B0035320000;Devices for removing lint or fluff
D04B0035340000;Devices for cutting knitted fabrics
D04B0035360000;Devices for printing, coating, or napping knitted fabrics
D04B0037000000;Auxiliary apparatus or devices for use with knitting machines (Jacquard cards, pattern chains, apparatus for punching same D03C)
D04B0037020000;with weft knitting machines
D04B0037040000;for inserting or adjusting pattern pins or like elements in pattern drums or wheels
D04B0037060000;with warp knitting machines
D04B0039000000;Knitting processes, apparatus or machines, not otherwise provided for
D04B0039020000;with work carrier in screw form
D04B0039040000;adapted for combined weft and warp knitting
D04B0039060000;adapted for combined knitting and weaving
D04B0039080000;Sewing machines modified for knitting
D04C;BRAIDING OR MANUFACTURE OF LACE, INCLUDING BOBBIN-NET OR CARBONISED LACE. BRAIDING MACHINES. BRAID. LACE (machines for making soles from strips of material A43D0029000000. cane working B27J0001000000)
D04C0001000000;Braid or lace, e.g. pillow-lace. Processes for the manufacture thereof
D04C0001020000;made from particular materials
D04C0001040000;Carbonised or like lace
D04C0001060000;Braid or lace serving particular purposes
D04C0001080000;Tulle fabrics
D04C0001100000;Pattern tulle fabrics
D04C0001120000;Cords, lines, or tows
D04C0003000000;Braiding or lacing machines
D04C0003020000;with spool carriers guided by track plates or by bobbin heads exclusively
D04C0003040000;with spool carriers guided and reciprocating in non-endless paths
D04C0003060000;with spool carriers moving always in the same direction in endless paths
D04C0003080000;with means for superimposing threads or braids
D04C0003100000;with means for forming edge loops, ears, or eyes
D04C0003120000;with means for introducing core threads
D04C0003140000;Spool carriers
D04C0003160000;for horizontal spools
D04C0003180000;for vertical spools
D04C0003200000;Arrangement of bobbin heads and guides or track plates in the machine
D04C0003220000;Guides or track plates (with means for controlling spool carriers D04C0003240000)
D04C0003240000;Devices for controlling spool carriers to obtain patterns, e.g. devices on guides or track plates
